"year","month","fp","NET","lEUA","euindout2","exc2","FreightIndex"
2012,1,"2",498259584,2.05923883436232,98.5,1.3179,680
2012,2,"2",411736960,2.12106321637066,97.1999969482422,1.2905,750
2012,3,"2",445947392,1.94304891677428,98.5,1.3224,934
2012,4,"2",380863552,2.01223279198639,97.5999984741211,1.3201,1155
2012,5,"2",517156608,1.83577635464483,98.5999984741211,1.3162,923
2012,6,"2",384290240,2.10413415427021,97.6999969482422,1.2789,1004
2012,7,"2",426142208,1.92861865194525,97.8000030517578,1.2526,897
2012,8,"2",274299648,2.08318452795867,98.5999984741211,1.2288,703
2012,9,"2",303224256,2.07065303564676,96.8000030517578,1.24,766
2012,10,"2",347850112,2.10778601468898,96.1999969482422,1.2856,1026
2012,11,"2",296457920,1.82454929205105,95.5999984741211,1.2974,1086
2012,12,"2",246655296,1.86408013080768,95.8000030517578,1.2828,699
2013,1,"3",513235584,1.19694818938897,95,1.3119,760
2013,2,"3",381244992,1.56861591791385,95.1999969482422,1.3288,757
2013,3,"3",336461376,1.55603713570699,95.5,1.3359,910
2013,4,"3",440452736,1.12167756159911,96.3000030517578,1.2964,863
2013,5,"3",433902912,1.36353737399727,96.3000030517578,1.3026,809
2013,6,"3",355290368,1.43031124653666,96.8000030517578,1.2982,1171
2013,7,"3",340588544,1.46093790411566,96.5,1.3189,1062
2013,8,"3",292796288,1.51512723296286,96.6999969482422,1.308,1132
2013,9,"3",388906560,1.61342993370364,96.8000030517578,1.331,2003
2013,10,"3",383358720,1.56861591791385,96.5,1.3348,1504
2013,11,"3",303150016,1.47247205736094,97.4000015258789,1.3635,1821
2013,12,"3",268442304,1.57484646766448,97.4000015258789,1.3493,2277
2014,1,"3",530019712,1.70474809223843,97.4000015258789,1.3704,1110
2014,2,"3",312744640,1.95444505150515,97.9000015258789,1.361,1258
2014,3,"3",378400384,1.53471436623816,97.4000015258789,1.3658,1362
2014,4,"3",378900352,1.68639895357023,98.5999984741211,1.3823,943
2014,5,"3",446345472,1.61938824328727,97.5,1.3812,934
2014,6,"3",430376000,1.75958057086382,97.1999969482422,1.3732,850
2014,7,"3",445985152,1.8229350866965,97.9000015258789,1.3592,755
2014,8,"3",386253120,1.8531680973567,96.6999969482422,1.3539,1147
2014,9,"3",526637824,1.76130026174335,97.4000015258789,1.3316,1063
